Agency Name,Bureau/Component,count
Small Business Administration,OCPL: Office of Communications & Public Liaison,2
Small Business Administration,OCFO: Office of the Chief Financial Officer,2
Social Security Administration,Chief Information Officer,12
Social Security Administration,"Chief Information Officer, Analytics and Improvements",8
Social Security Administration,Human Resources,4
Social Security Administration,"Chief Information Officer, Disability Information Systems",4
Social Security Administration,"Chief Information Officer, Digital Customer Solutions",3
Surface Transportation Board,Surface Transportation Board,2
Tennessee Valley Authority,Information Technology,16
Tennessee Valley Authority,Commercial Energy Solutions,8
Tennessee Valley Authority,Enterprise Analytics & Innovation,4
Tennessee Valley Authority,Generation Projects & Fleet Services,3
Tennessee Valley Authority,Supply Chain,2
